01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Arruda dos Vinhos,Município,Superior,,,,,39.6
2009,Arruda dos Vinhos,Município,Total,,,,,358.3
2009,Aveiro,Município,Básico - 1º ciclo,,,,,748.7
2009,Aveiro,Município,Básico - 2º ciclo,,,,,633.5
2009,Aveiro,Município,Básico - 3º ciclo,,,,,734.3
2009,Aveiro,Município,Nenhum,,,,,318.2
2009,Aveiro,Município,Secundário,,,,,655.6
2009,Aveiro,Município,Superior,,,,,561.2
2009,Aveiro,Município,Total,,,,,3651.3
2009,Avis,Município,Básico - 1º ciclo,,,,,91.3
2009,Avis,Município,Básico - 2º ciclo,,,,,49.0
2009,Avis,Município,Básico - 3º ciclo,,,,,34.6
2009,Avis,Município,Nenhum,,,,,22.5
2009,Avis,Município,Secundário,,,,,22.9
2009,Avis,Município,Superior,,,,,12.0
2009,Avis,Município,Total,,,,,232.3
2009,Azambuja,Município,Básico - 1º ciclo,,,,,273.7
2009,Azambuja,Município,Básico - 2º ciclo,,,,,208.2
2009,Azambuja,Município,Básico - 3º ciclo,,,,,192.7
2009,Azambuja,Município,Nenhum,,,,,50.4
2009,Azambuja,Município,Secundário,,,,,214.3
2009,Azambuja,Município,Superior,,,,,41.3
2009,Azambuja,Município,Total,,,,,980.5
2009,Baião,Município,Básico - 1º ciclo,,,,,699.7
2009,Baião,Município,Básico - 2º ciclo,,,,,370.2
2009,Baião,Município,Básico - 3º ciclo,,,,,348.4
2009,Baião,Município,Nenhum,,,,,161.6
2009,Baião,Município,Secundário,,,,,140.8
2009,Baião,Município,Superior,,,,,38.5
2009,Baião,Município,Total,,,,,1759.2
2009,Barcelos,Município,Básico - 1º ciclo,,,,,2070.4
2009,Barcelos,Município,Básico - 2º ciclo,,,,,1040.1
2009,Barcelos,Município,Básico - 3º ciclo,,,,,738.7
2009,Barcelos,Município,Nenhum,,,,,249.7
2009,Barcelos,Município,Secundário,,,,,611.0
2009,Barcelos,Município,Superior,,,,,317.1
